N,P,K,temperature,humidity,ph,rainfall,label,yield
20.05,45.13,18.59,29.16,60.06,6.61,51.99,mothbeans,1373.67
77.6,41.03,36.38,25.58,72.88,6.74,188.53,jute,4037.69
21.33,18.89,41.97,19.39,88.62,6.45,76.32,pomegranate,8893.95
15.02,67.09,9.11,20.36,26.29,5.26,93.28,kidneybeans,2578.69
17.26,14.61,10.69,25.64,90.55,7.24,103.44,orange,13016.39
84.94,16.75,41.14,26.59,93.93,6.65,25.25,muskmelon,16323.91
19.61,74.05,11.1,26.13,77.53,6.76,64.95,lentil,1324.83
78.54,46.0,45.59,17.14,50.61,7.31,79.85,wheat,4912.25
82.18,63.26,46.93,26.6,86.5,6.26,109.55,banana,34944.41
50.24,64.71,55.64,33.22,98.03,6.67,139.23,papaya,24088.15
100.27,16.14,48.15,27.54,94.43,6.46,29.12,muskmelon,19019.18
40.96,67.2,17.22,30.86,73.62,7.49,39.16,blackgram,1231.54
107.24,42.94,46.06,21.6,57.13,6.52,54.55,cotton,2235.27
15.91,73.46,17.26,25.33,51.62,6.19,200.76,pigeonpeas,1717.33
32.34,62.36,24.86,31.75,66.82,6.48,62.62,blackgram,907.29
45.77,52.1,48.84,33.49,90.6,6.54,144.85,papaya,33709.12
24.65,43.34,20.22,29.37,74.67,7.34,46.17,mungbean,985.75
130.91,38.84,48.41,23.52,58.58,6.99,96.61,cotton,2794.64
25.87,49.49,16.13,31.8,53.44,6.49,59.57,mothbeans,1341.98
27.17,20.27,27.1,29.26,95.78,5.7,170.76,coconut,6091.83
31.38,140.26,218.88,24.19,77.96,5.98,56.93,grapes,24823.47
100.79,15.15,50.52,27.71,97.02,6.65,15.8,muskmelon,14291.11
24.02,26.71,33.89,29.81,47.89,5.31,99.83,mango,10667.32
47.34,63.25,53.01,32.92,88.59,6.5,131.66,papaya,37886.13
17.16,28.54,31.45,31.09,54.65,5.5,83.5,mango,10205.4
14.45,143.37,209.49,21.51,70.65,5.71,65.36,grapes,26599.54
69.92,38.65,38.24,23.04,90.38,6.16,193.43,rice,5920.0
111.18,70.64,51.12,28.47,83.09,5.81,163.28,banana,34692.01
104.45,85.47,46.23,24.75,92.52,5.85,118.98,banana,34999.13
71.65,37.93,43.42,25.79,82.8,6.41,145.12,jute,3522.83
16.23,61.73,21.98,23.77,72.87,6.8,37.63,lentil,1800.75
17.51,21.59,37.6,21.54,90.63,6.49,98.35,pomegranate,12131.71
19.98,27.55,28.76,32.14,46.62,6.0,89.94,mango,9899.95
121.21,35.9,41.85,31.95,59.57,6.89,80.82,cotton,2399.03
23.84,126.53,187.3,24.47,90.61,5.42,104.3,apple,13740.11
26.0,16.37,30.77,24.61,96.99,6.01,186.35,coconut,8430.28
97.65,94.71,52.51,26.03,79.95,6.02,90.43,banana,39118.34
17.0,19.25,12.65,20.24,91.44,7.0,127.68,orange,14477.42
99.22,8.95,57.71,22.54,85.06,6.66,33.89,watermelon,24529.33
18.76,74.6,15.63,29.26,46.6,5.75,145.32,pigeonpeas,1905.64
130.33,43.32,47.07,33.99,65.53,6.31,82.59,cotton,2755.71
67.72,54.33,15.67,23.94,67.14,5.68,120.51,maize,5895.87
18.82,65.97,17.33,28.59,40.51,6.18,135.69,pigeonpeas,2368.33
19.49,71.18,22.0,19.97,60.67,6.89,50.87,lentil,1744.7
24.15,139.73,204.42,22.71,78.85,5.57,56.19,grapes,27546.48
11.56,62.4,23.35,29.21,46.04,5.49,128.45,pigeonpeas,1957.26
14.12,15.51,30.19,27.48,91.87,5.97,154.17,coconut,5975.47
22.16,14.78,8.35,21.3,89.69,6.72,77.74,orange,12882.93
18.77,150.44,196.79,21.99,80.2,5.61,90.51,grapes,18779.48
12.52,63.41,26.61,27.66,48.4,6.03,162.93,pigeonpeas,2132.18
85.14,50.58,59.26,24.14,87.68,6.48,219.54,rice,4996.9
52.59,57.72,46.85,35.92,91.26,6.58,140.4,papaya,36638.15
20.9,72.19,19.49,26.32,51.75,6.0,168.44,pigeonpeas,2161.02
18.64,74.17,15.97,28.38,44.72,5.72,118.8,pigeonpeas,2058.78
69.95,53.8,48.41,15.63,48.45,6.12,79.79,wheat,5522.51
79.67,37.66,39.55,20.39,85.35,6.18,171.8,rice,5083.79
76.97,57.46,46.64,19.94,46.26,5.29,88.26,wheat,5354.99
47.51,55.36,56.09,32.19,89.6,6.8,140.06,papaya,37708.52
21.27,132.94,192.86,22.33,94.99,6.07,121.07,apple,16018.97
18.62,70.23,22.12,20.79,59.38,6.93,29.13,lentil,1769.5
39.12,60.26,75.09,17.15,17.23,7.43,72.07,chickpea,1882.15
23.43,132.3,210.88,23.62,76.81,6.0,52.76,grapes,16423.75
24.19,47.68,12.75,28.15,58.24,6.79,58.75,mothbeans,1055.66
17.74,46.46,9.48,28.28,75.57,6.72,57.65,mungbean,1282.74
63.38,47.67,33.94,21.7,82.24,5.57,188.46,rice,6202.67
67.05,46.32,48.35,22.48,74.48,5.88,191.82,rice,3614.86
18.46,12.71,27.59,30.31,94.49,5.17,199.2,coconut,6418.82
26.65,20.46,24.15,26.99,97.97,6.77,189.08,coconut,6062.78
9.68,66.41,24.71,20.38,27.85,6.01,91.92,kidneybeans,2401.33
16.61,145.33,207.65,23.59,95.87,5.55,106.83,apple,10988.21
29.25,44.85,19.84,28.07,73.91,6.35,38.03,mungbean,1538.83
31.87,68.41,17.93,33.0,72.06,7.24,63.1,blackgram,1398.63
19.11,13.48,39.75,19.82,90.99,6.26,86.49,pomegranate,8587.35
111.22,93.07,46.6,27.36,81.47,6.11,99.75,banana,47060.53
97.9,53.37,47.31,16.33,48.95,6.07,66.29,wheat,5338.51
103.52,14.47,53.15,26.75,88.85,6.74,22.07,muskmelon,16155.06
18.88,68.82,27.31,25.94,58.52,6.54,51.79,lentil,1526.54
103.12,88.87,43.69,23.18,77.16,6.54,145.44,banana,47655.45
23.48,15.91,24.38,31.39,97.4,5.51,168.1,coconut,6553.25
22.22,45.65,23.06,26.04,46.09,6.26,28.76,mothbeans,1146.12
15.61,68.5,22.4,22.99,20.52,5.55,127.99,kidneybeans,2685.85
97.96,63.55,23.03,21.63,67.67,6.44,78.59,maize,7593.54
106.25,23.34,52.83,29.28,94.61,7.01,31.05,muskmelon,17625.15
89.87,52.73,38.3,25.58,82.23,6.89,153.05,jute,4434.12
16.34,77.45,20.25,21.54,20.18,5.81,111.22,kidneybeans,1902.76
127.27,41.62,40.57,22.99,63.34,6.93,88.59,cotton,2380.1
118.15,49.68,42.06,24.76,63.13,6.45,68.25,cotton,2572.56
114.38,43.84,38.2,27.54,56.29,6.79,58.94,cotton,3208.8
19.59,13.49,12.35,19.96,92.95,7.12,91.03,orange,12801.21
41.22,65.98,20.01,30.24,56.64,7.81,75.8,blackgram,1213.04
24.81,21.98,27.09,29.29,40.94,5.39,143.83,mango,9932.84
86.26,43.71,34.65,23.96,80.88,6.36,214.2,rice,5649.83
22.45,147.57,206.78,22.9,96.67,6.13,97.17,apple,15073.7
15.02,40.53,9.38,29.44,50.27,7.68,41.06,mothbeans,981.42
97.74,85.65,46.03,28.83,85.93,5.7,95.18,banana,41809.26
45.51,70.33,93.46,19.57,17.71,8.18,86.34,chickpea,1820.86
22.96,30.78,39.31,31.25,55.5,5.59,118.7,mango,10696.92
19.89,41.25,28.84,28.64,45.97,6.67,52.11,mothbeans,1565.58
21.03,145.43,215.55,23.7,91.05,6.21,132.27,apple,14596.53
21.44,62.21,13.33,16.9,23.99,6.06,141.99,kidneybeans,2738.89
20.09,16.96,34.22,23.56,93.65,6.55,81.74,pomegranate,9412.76
72.45,44.94,32.97,21.15,75.24,5.51,231.61,rice,5001.1
21.22,67.7,25.64,20.17,19.76,6.0,100.66,kidneybeans,2810.57
17.4,68.92,21.66,25.12,66.19,6.54,36.62,lentil,1475.63
71.98,43.52,45.83,27.58,73.02,7.0,195.47,jute,4255.72
99.91,12.27,43.38,26.93,88.6,5.89,63.23,watermelon,28192.26
19.37,41.27,18.59,29.01,87.64,6.13,47.72,mungbean,1159.4
18.57,18.06,11.39,22.38,92.02,6.72,64.37,orange,11172.19
18.36,18.34,10.93,22.09,89.29,6.86,61.4,orange,13016.06
18.69,68.51,21.53,24.19,71.21,6.94,31.42,lentil,2033.67
37.37,68.89,84.0,18.39,17.77,7.14,94.76,chickpea,2251.07
83.65,42.9,19.88,21.65,66.13,5.82,82.37,maize,8021.75
15.33,49.75,15.52,30.13,64.69,6.54,56.34,mothbeans,1097.72
23.69,51.21,11.53,30.01,50.15,6.69,77.38,mothbeans,1261.7
115.06,78.49,44.3,22.08,75.1,5.97,136.98,banana,41248.13
19.95,69.53,29.07,19.31,22.84,5.55,88.07,kidneybeans,2333.95
93.42,7.38,41.29,27.15,83.29,6.42,48.41,watermelon,30668.76
94.72,82.03,49.03,29.54,81.09,6.26,105.19,banana,48626.42
19.05,60.51,26.82,27.39,45.56,6.28,124.16,pigeonpeas,1745.47
16.05,67.96,18.92,19.26,19.81,5.8,138.07,kidneybeans,2671.24
103.78,10.96,52.7,26.23,84.59,6.4,51.67,watermelon,34057.47
90.89,48.32,34.61,21.57,85.4,5.63,206.49,rice,5691.6
17.93,59.16,34.96,27.49,68.61,6.67,44.86,lentil,1272.04
103.3,8.18,51.3,23.75,83.62,6.81,59.09,watermelon,25249.56
24.79,69.04,21.54,17.81,19.36,6.24,90.3,kidneybeans,3166.25
103.0,12.06,49.31,29.13,91.51,6.31,22.94,muskmelon,15692.21
20.43,48.74,16.19,28.42,60.65,6.57,62.72,mothbeans,1610.8
72.96,40.96,32.22,24.21,75.6,6.88,137.54,rice,6418.41
33.96,62.62,96.76,15.16,14.54,7.84,78.08,chickpea,1360.58
111.18,14.61,48.87,28.28,90.68,6.53,24.06,muskmelon,14184.16
82.81,44.89,38.96,22.01,79.05,6.42,210.71,rice,5440.11
91.52,88.55,54.61,28.7,73.42,5.86,121.46,banana,41904.34
16.47,15.88,9.19,23.38,94.0,7.33,84.81,orange,13316.77
19.07,71.65,21.76,28.68,46.64,5.44,126.57,pigeonpeas,2406.32
22.09,16.81,30.03,24.95,95.05,5.5,172.52,coconut,8899.04
12.28,67.56,31.05,25.61,75.95,7.16,56.27,lentil,1823.01
19.54,67.56,22.74,21.9,21.82,6.26,109.48,kidneybeans,2487.84
22.5,18.55,13.28,21.91,91.5,6.79,120.75,orange,10517.06
44.89,56.07,17.17,26.38,60.25,6.06,65.95,blackgram,863.12
88.95,44.02,50.22,23.59,46.95,6.43,75.22,wheat,4576.97
92.11,47.51,20.09,23.42,66.17,6.48,90.74,maize,6664.08
85.53,9.38,48.79,23.34,85.11,6.37,50.8,watermelon,28717.27
28.04,16.15,27.55,27.38,96.88,6.09,229.86,coconut,6013.94
38.52,69.21,68.49,19.16,17.39,8.03,96.6,chickpea,1585.73
94.16,41.83,17.04,21.95,66.4,5.6,93.48,maize,6525.29
24.13,41.8,12.49,26.51,49.69,7.03,44.85,mothbeans,1058.55
73.68,37.68,47.48,24.41,74.72,6.58,155.09,jute,3072.74
94.97,55.94,43.25,26.72,81.25,6.81,135.06,jute,3172.93
21.74,126.92,195.77,19.73,95.77,5.97,136.49,apple,16321.92
27.83,137.91,183.09,28.9,74.98,6.28,75.47,grapes,16851.29
18.2,131.45,222.68,26.42,92.38,6.1,114.86,apple,12032.87
16.89,21.63,35.04,33.54,48.36,5.61,104.06,mango,11215.18
87.53,52.02,42.67,22.95,79.31,6.2,185.38,jute,3445.33
12.09,63.3,17.2,15.93,22.14,5.63,71.54,kidneybeans,2515.83
104.58,76.28,58.97,30.09,83.02,6.41,106.3,banana,44743.17
110.21,20.47,53.49,30.23,91.72,5.94,24.64,muskmelon,14814.32
91.72,82.96,52.25,27.42,82.29,6.13,69.56,banana,45692.89
15.19,62.62,14.38,28.09,67.65,6.99,35.42,lentil,1622.69
81.15,47.33,36.6,20.54,87.39,6.61,147.09,jute,3580.29
18.89,73.33,27.26,18.17,19.49,5.66,111.15,kidneybeans,2372.1
87.39,50.36,28.09,24.51,74.49,6.74,164.55,jute,3618.47
18.13,24.22,27.33,27.97,52.74,5.68,60.9,mango,8871.42
21.32,18.02,21.01,26.94,96.58,6.2,161.05,coconut,6416.83
15.94,69.92,23.99,26.24,72.85,6.88,57.94,lentil,1472.13
18.66,16.47,8.3,24.74,84.79,6.77,99.81,orange,8417.3
116.83,24.44,47.07,24.0,85.71,6.9,24.76,muskmelon,14805.15
16.3,46.08,18.97,31.21,74.6,7.06,39.63,mungbean,1110.25
23.92,64.61,18.41,18.44,21.22,6.18,121.04,kidneybeans,2883.61
17.03,136.2,198.34,23.61,89.05,6.16,61.05,grapes,20138.89
17.92,18.64,8.3,19.56,92.82,6.95,85.13,orange,13592.16
16.68,47.37,15.45,29.39,83.12,6.31,53.42,mungbean,1121.44
25.81,27.54,23.28,29.08,44.09,5.54,91.34,mango,8534.69
46.84,77.83,19.8,32.5,59.72,7.32,83.71,blackgram,1191.39
86.23,42.66,39.29,23.24,84.57,6.36,166.26,rice,4728.87
81.69,49.87,37.88,22.48,79.79,7.07,203.15,jute,3328.14
16.93,19.05,8.02,20.79,94.66,7.01,74.06,orange,14698.5
74.29,40.97,20.08,23.8,60.46,6.76,95.22,maize,7963.68
63.57,49.92,37.16,26.29,81.95,6.84,175.84,jute,3711.65
133.2,40.08,38.24,24.01,64.46,6.94,84.04,cotton,3024.45
20.21,73.19,21.67,30.96,43.03,5.84,150.69,pigeonpeas,1851.2
15.88,61.25,20.1,23.2,81.89,7.1,41.91,lentil,1206.52
12.71,19.26,11.04,21.44,93.69,6.71,111.45,orange,12715.93
18.69,66.32,24.8,20.92,18.46,5.75,118.43,kidneybeans,3181.45
106.18,19.25,48.07,28.38,92.32,6.43,23.95,muskmelon,22828.38
35.94,67.75,78.4,18.99,22.35,7.76,56.84,chickpea,2131.9
23.77,145.48,212.3,23.89,89.94,5.74,94.2,apple,13679.91
16.3,71.26,27.14,27.16,51.78,5.23,162.19,pigeonpeas,1898.08
94.41,40.82,45.82,23.02,77.09,6.23,205.97,rice,5014.74
18.94,53.11,18.11,32.17,55.15,6.42,49.71,mothbeans,1091.42
35.73,150.12,192.16,21.1,79.97,5.72,75.77,grapes,15830.9
18.77,61.38,17.82,25.76,66.76,7.07,49.83,lentil,2005.36
46.02,54.6,49.32,34.6,93.93,6.44,155.04,papaya,31911.97
45.57,60.26,55.26,31.34,93.33,6.96,120.58,papaya,35012.35
122.92,42.7,45.3,22.31,70.98,6.77,88.53,cotton,3216.93
13.91,64.58,19.95,24.12,74.63,6.92,57.79,lentil,1408.17
45.21,70.92,78.7,19.74,15.88,7.76,97.74,chickpea,1991.3
23.66,61.63,25.24,28.98,44.33,5.76,180.97,pigeonpeas,2277.75
88.24,51.61,43.66,20.3,65.5,6.83,88.99,cotton,2868.17
39.52,65.92,70.54,19.82,14.05,7.73,57.97,chickpea,1477.97
90.65,45.41,47.05,27.6,80.19,5.78,243.6,rice,6291.66
43.97,74.75,25.29,30.94,65.06,6.71,79.1,blackgram,1409.79
19.05,15.2,7.2,21.03,93.28,6.92,79.11,orange,16878.35
23.73,64.79,18.67,22.19,78.49,6.97,37.49,lentil,1663.12
18.92,138.35,167.59,21.02,97.39,5.93,117.34,apple,16489.29
74.08,53.3,23.09,23.37,58.17,6.61,90.23,maize,6839.77
107.22,47.41,39.66,27.91,63.88,6.18,76.43,cotton,2717.11
19.34,59.39,16.4,24.82,67.05,7.26,44.55,lentil,1658.82
19.99,21.25,29.75,23.92,92.61,5.91,177.8,coconut,8391.03
20.39,70.0,21.01,25.94,48.23,5.48,150.62,pigeonpeas,2123.03
14.67,50.4,15.64,27.59,47.84,7.05,42.63,mothbeans,1379.76
21.71,28.52,35.5,28.15,45.13,5.77,80.51,mango,13728.88
9.97,54.95,13.27,25.99,51.34,7.22,58.73,mothbeans,1123.19
25.23,64.79,16.87,28.04,65.61,6.87,55.63,blackgram,858.93
22.26,18.23,34.59,29.24,97.24,5.96,190.88,coconut,7065.69
41.93,73.45,100.12,21.07,18.75,7.81,75.17,chickpea,1642.11
93.46,89.32,56.11,23.66,85.66,6.62,110.04,banana,43978.51
106.46,11.4,53.62,24.69,86.59,6.17,62.69,watermelon,18795.81
38.5,77.52,96.26,24.66,17.52,7.59,50.25,chickpea,1881.47
21.12,139.55,220.15,20.75,91.04,5.8,131.99,apple,15887.06
9.96,66.06,18.47,21.27,19.91,6.2,66.77,kidneybeans,2856.46
84.64,41.92,53.82,17.8,45.95,6.6,92.23,wheat,4272.5
116.12,37.86,49.79,24.49,67.69,6.7,70.58,cotton,2764.45
83.0,42.13,35.03,25.61,80.22,6.95,188.67,jute,3469.73
22.19,15.55,22.3,26.12,98.58,5.9,168.85,coconut,6781.93
74.47,46.88,57.57,19.43,51.09,6.94,82.44,wheat,4928.87
48.19,72.54,16.46,34.42,66.63,6.75,92.79,blackgram,1361.84
43.44,75.33,68.88,17.89,16.41,7.03,78.2,chickpea,2354.81
15.16,67.09,21.41,23.45,67.93,6.98,64.33,lentil,1177.61
23.23,16.44,11.02,22.73,91.64,6.74,108.36,orange,14502.58
94.75,52.29,39.2,22.96,76.99,5.99,191.34,rice,5823.62
16.75,68.42,20.06,20.96,21.19,5.15,96.34,kidneybeans,2949.27
96.79,9.22,51.11,27.86,83.48,6.55,57.27,watermelon,30865.43
22.69,46.68,19.21,25.58,60.96,7.06,60.64,mothbeans,1196.34
41.0,69.32,92.72,20.2,18.87,7.0,58.6,chickpea,1693.04
94.75,52.51,48.95,23.0,36.48,6.84,65.19,wheat,3845.89
96.47,46.44,38.79,22.58,63.75,6.35,79.49,cotton,2627.16
38.56,69.44,79.54,16.73,16.29,7.6,50.24,chickpea,1966.91
77.17,40.75,15.39,19.99,66.04,6.03,70.57,maize,7160.8
17.86,11.16,36.18,25.94,94.63,5.57,193.97,coconut,5828.65
14.61,67.12,22.0,28.72,50.52,5.89,138.86,pigeonpeas,2005.83
104.38,19.56,47.75,32.17,88.12,6.94,31.08,muskmelon,20311.69
23.29,15.69,8.96,20.22,93.97,7.41,131.27,orange,13546.68
16.3,67.62,27.69,22.68,62.03,7.04,40.23,lentil,1575.95
25.72,12.9,29.02,27.86,97.32,5.86,173.35,coconut,7562.03
115.16,69.94,50.05,25.62,78.45,6.12,118.39,banana,40148.81
13.85,24.59,27.65,30.4,47.77,5.77,95.71,mango,9020.65
110.3,92.33,51.54,27.58,81.07,6.15,106.1,banana,43158.87
68.2,41.99,41.81,23.95,84.52,7.17,183.32,jute,3584.54
83.04,46.43,44.09,24.53,82.37,7.03,158.72,jute,3725.88
20.54,17.99,30.67,23.2,95.17,6.0,168.43,coconut,7083.35
23.73,69.63,31.38,26.3,50.59,5.64,131.61,pigeonpeas,2039.62
49.25,54.25,57.5,34.86,88.26,6.71,144.88,papaya,33678.25
45.19,48.95,47.25,36.02,92.79,6.34,162.34,papaya,38360.98
47.89,58.33,49.92,32.3,92.71,7.05,119.15,papaya,39114.91
90.4,18.86,45.78,26.38,89.18,6.48,29.72,muskmelon,20152.37
21.4,147.11,182.88,23.0,88.26,5.83,128.81,apple,13722.79
106.44,76.57,48.47,25.81,80.55,6.36,89.58,banana,47948.86
91.58,71.86,54.13,27.64,81.99,5.89,99.41,banana,41030.03
13.75,134.15,166.56,23.46,90.33,5.15,97.72,apple,11848.78
20.32,16.51,39.37,19.9,85.74,6.24,110.96,pomegranate,12063.09
90.79,22.55,42.15,30.46,92.12,6.35,25.84,muskmelon,17831.97
15.25,23.35,31.98,29.74,42.15,5.99,122.9,mango,11395.57
28.0,55.7,27.86,27.44,91.15,6.42,39.93,mungbean,875.04
47.52,66.35,77.88,16.12,17.14,7.93,35.68,chickpea,2004.34
27.99,27.65,22.92,31.73,51.22,5.52,106.47,mango,7891.71
21.67,25.21,23.47,29.74,94.21,5.41,164.46,coconut,6443.05
46.96,68.11,21.58,31.62,61.38,7.02,69.88,blackgram,1004.57
16.5,12.38,37.75,21.81,93.05,6.15,127.54,pomegranate,10246.82
12.21,72.1,22.12,26.07,45.31,5.66,119.34,pigeonpeas,1808.1
108.41,21.69,55.09,28.25,89.9,6.48,27.29,muskmelon,18909.44
129.31,38.04,43.78,24.7,63.63,6.38,85.72,cotton,3192.67
40.45,65.79,20.04,31.89,62.24,6.44,98.67,blackgram,963.31
85.03,55.77,33.78,24.82,84.4,6.71,179.13,jute,3208.75
19.0,112.04,207.06,23.98,93.34,5.61,91.3,apple,14380.03
34.75,63.14,17.75,28.49,66.12,6.42,51.23,blackgram,1382.29
17.73,37.75,21.87,30.91,82.04,6.83,33.32,mungbean,1421.92
18.97,13.36,41.02,21.39,95.03,6.03,94.98,pomegranate,12466.83
34.49,71.41,84.09,17.08,15.48,7.23,81.02,chickpea,2062.94
21.09,69.94,15.15,21.29,65.74,6.85,46.87,lentil,1595.5
122.92,47.52,41.42,27.14,55.71,6.29,77.45,cotton,2319.7
17.2,21.58,10.52,22.04,89.43,7.35,120.35,orange,13337.63
44.52,66.87,27.18,28.59,59.73,6.98,66.76,blackgram,1246.18
46.15,57.26,55.16,31.57,93.64,6.41,138.21,papaya,37121.03
46.09,58.24,81.44,12.55,20.28,7.47,79.29,chickpea,1383.04
49.6,61.89,80.71,14.12,15.91,7.22,91.59,chickpea,1502.76
17.94,64.31,11.86,32.05,54.26,5.57,154.45,pigeonpeas,2155.88
18.68,15.84,11.27,22.69,99.94,7.14,100.7,orange,11950.69
73.57,45.6,21.48,22.93,65.99,6.16,119.0,maize,8201.1
29.73,126.98,210.64,24.32,73.82,5.72,66.75,grapes,24192.86
98.13,82.76,44.85,27.45,71.41,6.31,105.93,banana,40755.99
110.28,84.52,49.76,27.5,80.9,5.55,98.01,banana,50803.06
97.36,55.46,51.05,16.72,48.42,7.11,77.13,wheat,6203.62
18.1,22.04,43.87,20.99,90.65,6.59,115.07,pomegranate,8875.44
70.92,40.94,47.33,22.55,82.34,5.29,183.67,rice,5537.52
25.2,58.22,18.16,28.43,43.41,6.32,136.29,pigeonpeas,2059.65
107.45,22.45,36.97,28.22,86.79,7.23,22.66,muskmelon,16872.16
36.45,66.56,72.16,23.2,15.43,7.33,76.07,chickpea,1346.6
44.3,72.05,14.22,31.45,72.63,7.57,110.98,blackgram,955.62
70.42,46.85,15.38,23.78,70.18,5.08,66.41,maize,5802.99
45.53,65.18,71.84,18.23,20.58,7.54,49.35,chickpea,1459.02
23.27,15.35,35.6,23.87,90.57,5.68,189.21,coconut,5753.53
15.83,78.92,22.85,18.84,20.17,5.67,100.21,kidneybeans,2852.96
61.93,56.75,26.91,19.42,68.45,5.75,90.27,maize,6664.34
82.26,48.1,16.79,22.98,74.02,5.9,99.4,maize,6026.32
104.45,9.92,56.73,25.75,77.61,5.83,42.81,watermelon,26426.26
24.15,24.77,28.09,32.18,52.19,5.53,64.8,mango,13750.2
37.74,62.91,15.89,27.42,60.5,7.43,54.27,blackgram,1139.74
95.66,19.68,47.21,29.34,89.84,7.05,26.72,muskmelon,16106.77
17.26,38.16,19.89,28.59,54.25,6.7,52.25,mothbeans,1588.26
19.39,65.71,19.2,19.26,17.96,5.49,115.43,kidneybeans,2763.75
80.39,50.5,22.36,22.15,68.71,6.24,60.25,maize,8127.76
24.59,17.57,29.49,26.34,94.58,5.9,159.56,coconut,6154.57
76.72,55.56,12.74,21.98,58.74,6.18,102.74,maize,6378.12
31.54,67.09,19.47,21.99,27.11,5.21,69.27,kidneybeans,2146.77
32.54,32.42,37.47,30.34,62.13,5.81,114.55,mango,8445.56
100.92,16.8,35.44,25.11,94.32,7.11,29.51,muskmelon,16399.23
42.98,65.21,75.87,15.22,17.91,7.25,81.6,chickpea,1221.68
22.61,41.18,17.34,29.0,80.09,7.18,61.24,mungbean,1067.67
16.93,40.62,29.03,26.73,84.52,7.0,84.29,mungbean,1047.06
25.86,62.12,22.44,22.36,23.44,5.64,94.43,kidneybeans,2831.92
78.63,44.12,38.1,27.15,80.88,6.8,138.57,jute,3855.5
49.59,60.37,14.23,31.71,66.32,7.39,67.77,blackgram,910.91
21.8,14.29,29.14,32.33,98.75,5.94,162.84,coconut,6918.16
23.91,121.27,202.04,20.2,91.22,5.7,105.44,apple,17528.55
18.98,62.39,26.9,28.07,65.74,7.05,48.02,lentil,1628.14
20.56,134.31,177.42,24.03,93.88,5.97,97.74,apple,12900.06
95.43,13.93,50.35,26.36,88.83,6.28,37.43,muskmelon,16818.22
21.45,72.79,16.05,28.07,41.17,6.01,159.38,pigeonpeas,2297.3
39.44,51.37,31.58,26.18,80.16,7.34,199.92,jute,2727.08
32.98,67.58,31.27,29.6,64.08,6.57,82.19,blackgram,1234.25
105.63,44.66,48.12,24.24,49.6,6.73,59.06,wheat,4853.31
86.41,41.16,49.62,19.56,47.67,5.7,82.7,wheat,4639.51
21.99,72.09,15.43,24.61,64.74,7.09,43.77,lentil,1500.01
98.14,7.5,53.93,23.7,84.5,6.94,55.09,watermelon,22457.5
88.24,44.1,53.94,18.61,51.01,6.64,71.12,wheat,5311.02
18.33,46.28,18.13,26.04,43.21,6.6,52.93,mothbeans,997.62
122.58,50.83,41.06,21.21,71.03,6.54,82.09,cotton,2541.95
81.35,45.8,42.78,14.1,60.28,5.95,71.68,wheat,4602.58
42.82,66.94,22.71,29.32,65.01,6.92,61.14,blackgram,1065.21
70.16,44.55,15.42,20.34,64.66,5.64,98.64,maize,8402.41
26.59,48.07,19.1,27.78,59.46,6.58,64.16,mothbeans,1324.6
53.6,61.68,55.13,31.19,94.8,6.49,123.18,papaya,38058.26
50.91,65.8,49.78,31.23,87.14,6.85,146.95,papaya,32938.65
22.9,12.81,29.46,29.8,95.86,5.94,179.3,coconut,6957.32
48.98,71.53,77.57,14.92,21.69,7.21,97.43,chickpea,1563.04
76.37,44.28,16.62,21.71,61.04,5.85,47.13,maize,7336.29
15.99,66.26,23.85,25.89,50.14,5.29,137.77,pigeonpeas,2095.5
74.77,46.74,34.22,26.52,75.02,6.52,191.22,jute,4257.17
18.67,46.16,21.44,25.67,83.21,6.44,40.09,mungbean,1013.59
19.23,15.78,27.5,26.87,97.08,6.1,224.68,coconut,7964.96
83.15,49.35,48.22,19.56,54.82,7.61,66.64,wheat,4375.23
17.17,65.64,23.59,27.68,44.79,6.3,131.88,pigeonpeas,2210.4
36.34,63.51,16.81,29.25,64.76,7.07,12.67,blackgram,958.79
42.43,60.26,90.83,16.59,17.72,7.9,53.69,chickpea,1268.68
22.48,19.83,36.17,19.13,92.02,6.43,68.48,pomegranate,13245.61
21.74,138.84,211.11,25.34,83.47,5.94,77.07,grapes,18996.06
19.77,28.35,27.05,31.97,58.39,6.0,93.37,mango,10997.26
38.23,66.87,21.48,28.88,63.44,6.9,58.59,blackgram,1408.67
11.29,47.98,12.05,26.67,80.49,6.94,50.17,mungbean,1089.89
95.5,44.08,38.39,24.63,75.85,6.11,239.21,rice,4386.25
24.64,61.26,18.39,23.94,74.56,6.5,65.84,lentil,1573.49
97.65,87.51,52.74,25.59,75.77,6.2,90.55,banana,43963.85
54.54,62.55,49.09,34.19,94.68,7.19,161.77,papaya,35754.6
23.09,13.0,26.24,26.63,92.59,5.58,177.31,coconut,6299.96
22.18,72.22,21.96,28.91,40.09,5.82,158.59,pigeonpeas,2355.71
17.31,43.83,8.67,27.3,51.86,7.01,37.01,mothbeans,912.25
39.63,64.05,25.08,29.19,57.57,6.39,86.91,blackgram,1238.16
17.04,27.99,27.31,31.94,56.08,5.48,92.39,mango,10712.12
21.8,79.75,16.42,19.17,21.81,5.82,110.27,kidneybeans,2865.89
17.48,19.25,36.87,21.46,92.33,6.28,122.63,pomegranate,11938.41
86.15,49.2,51.36,20.64,46.24,6.34,63.06,wheat,5789.16
20.62,19.53,39.06,23.78,89.36,6.51,107.42,pomegranate,10162.69
